order_id,customer_id,employee_id,shipping_method_id,order_date,ship_date,freight_charge,is_orderdate_gt_shipdate,ship_lead_days
2,1,1,1.0,2003-07-10,2003-07-10,0.0,False,0
4,2,2,1.0,2003-07-11,2003-07-11,0.0,False,0
5,2,1,1.0,2003-07-15,2003-07-15,0.0,False,0
6,3,1,1.0,2003-07-14,2003-07-14,0.0,False,0
7,4,1,1.0,2003-07-14,2003-07-15,0.0,False,1
8,5,1,1.0,2003-07-14,2003-07-14,0.0,False,0
9,5,1,1.0,2003-07-15,2003-07-15,0.0,False,0
10,6,1,1.0,2003-07-16,2003-07-16,0.0,False,0
11,3,1,1.0,2003-07-16,2003-07-16,0.0,False,0
12,3,1,1.0,2003-07-17,2003-07-17,0.0,False,0
13,2,1,1.0,2003-07-18,2003-07-18,0.0,False,0
14,7,2,1.0,2003-07-18,2003-07-18,0.0,False,0
15,9,1,1.0,2003-07-18,2003-07-18,0.0,False,0
16,10,1,1.0,2003-07-19,2003-07-19,0.0,False,0
17,4,1,1.0,2003-07-21,2003-07-21,0.0,False,0
18,11,1,1.0,2003-07-22,2003-07-22,0.0,False,0
19,12,1,1.0,2003-07-22,2003-07-22,0.0,False,0
20,2,1,1.0,2003-07-22,2003-07-22,0.0,False,0
21,5,1,1.0,2003-07-22,2003-07-22,0.0,False,0
22,3,2,1.0,2003-07-23,2003-07-23,0.0,False,0
23,12,2,1.0,2003-07-23,2003-07-23,0.0,False,0
24,2,2,1.0,2003-07-23,2003-07-23,0.0,False,0
25,8,2,1.0,2003-07-24,2003-07-24,0.0,False,0
26,1,1,1.0,2003-07-24,2003-07-24,0.0,False,0
27,8,2,1.0,2003-07-24,2003-07-24,0.0,False,0
28,6,1,1.0,2003-07-25,2003-07-25,0.0,False,0
29,13,1,1.0,2003-07-25,2003-07-25,0.0,False,0
30,7,1,1.0,2003-07-25,2003-07-25,0.0,False,0
31,5,1,1.0,2003-07-28,2003-07-28,0.0,False,0
32,5,2,1.0,2003-07-29,2003-07-29,0.0,False,0
33,14,1,1.0,2003-07-29,2003-07-29,0.0,False,0
34,6,1,1.0,2003-07-29,2003-07-29,0.0,False,0
