payment_id,order_id,payment_method_id,payment_date,payment_amount
1,2,1.0,,603.50
2,4,1.0,,"1,288.00"
4,5,1.0,,"1,800.00"
5,6,1.0,,389.50
6,7,1.0,,"1,479.00"
7,8,1.0,,"2,028.85"
8,9,1.0,,"1,315.10"
9,10,1.0,,"2,603.00"
10,11,1.0,,319.00
11,5,1.0,,559.50
12,12,1.0,,481.50
13,13,1.0,,"1,819.50"
14,14,1.0,,13.10
15,15,1.0,,12.00
16,16,1.0,,16.70
17,17,1.0,,968.00
18,18,1.0,,80.10
19,19,1.0,,548.00
20,20,1.0,,"2,100.00"
21,21,1.0,,"2,769.35"
22,22,1.0,,352.50
23,23,1.0,,867.00
24,20,1.0,,47.00
25,24,1.0,,"2,120.10"
26,25,1.0,,16.30
27,26,1.0,,"1,457.00"
28,15,1.0,,2.00
29,27,1.0,,11.60
30,28,1.0,,"2,705.20"
31,29,1.0,,"9,672.30"
32,30,1.0,,3.00
33,31,1.0,,"2,096.20"
34,31,1.0,,"1,000.00"
35,32,1.0,,237.00
36,35,1.0,,"1,176.90"
37,36,1.0,,28.10
38,37,1.0,,"1,222.60"
39,33,1.0,,"1,766.60"
40,34,1.0,,"1,113.60"
41,39,1.0,,8.40
42,40,1.0,,"1,910.85"
43,41,1.0,,"3,602.00"
44,38,1.0,,935.50
45,43,1.0,,776.20
46,44,1.0,,"1,048.25"
47,45,1.0,,509.00
48,46,1.0,,166.70
49,47,1.0,,934.50
50,48,1.0,,418.50
51,49,1.0,,"1,137.10"
52,50,1.0,,15.10
53,42,1.0,,"2,305.00"
54,51,1.0,,532.50
55,53,1.0,,124.00
56,52,1.0,,896.00
57,55,1.0,,110.20
58,54,1.0,,"4,000.00"
59,56,1.0,,763.50
60,54,1.0,,562.50
61,57,1.0,,893.50
62,58,1.0,,789.50
63,59,1.0,,801.00
64,60,1.0,,"3,606.00"
65,61,1.0,,370.50
66,62,1.0,,"1,714.00"
67,66,1.0,,483.87
68,63,1.0,,"1,044.80"
69,67,1.0,,"3,580.00"
70,66,1.0,,837.23
71,68,1.0,,26.90
72,69,1.0,,"3,212.00"
73,70,1.0,,602.60
74,73,1.0,,43.30
75,74,1.0,,"3,277.40"
76,72,1.0,,76.10
77,75,1.0,,"1,542.50"
78,76,1.0,,"1,469.40"
79,71,1.0,,"10,891.70"
80,77,1.0,,252.00
81,78,1.0,,749.90
82,80,1.0,,235.10
83,79,1.0,,932.40
84,81,1.0,,505.00
85,82,1.0,,"1,070.05"
86,83,1.0,,96.80
87,84,1.0,,"2,093.00"
88,85,1.0,,456.00
89,86,1.0,,"2,348.20"
90,87,1.0,,378.00
91,88,1.0,,"3,635.00"
92,89,1.0,,940.20
93,90,1.0,,335.00
94,92,1.0,,809.00
95,91,1.0,,"1,734.15"
96,93,1.0,,900.00
97,94,1.0,,25.70
98,95,1.0,,269.20
99,96,1.0,,7.80
100,97,1.0,,"2,072.40"
101,98,1.0,,"2,277.00"
102,99,1.0,,"1,189.50"
103,102,1.0,,"1,166.50"
104,101,1.0,,"4,879.00"
105,103,1.0,,7.30
111,104,1.0,,206.60
112,105,1.0,,673.37
113,98,1.0,,188.00
114,106,1.0,,"1,090.00"
115,107,1.0,,895.00
116,108,1.0,,"2,768.00"
117,106,1.0,,37.95
118,100,1.0,,23.50
119,109,1.0,,"1,430.00"
120,111,1.0,,12.40
121,113,1.0,,8.75
122,114,1.0,,400.00
123,108,1.0,,"1,260.00"
124,116,1.0,,"3,134.00"
125,117,1.0,,920.00
126,118,1.0,,"1,077.50"
127,119,1.0,,37.80
129,121,1.0,,660.00
130,120,1.0,,"1,628.20"
131,122,1.0,,20.90
132,124,1.0,,87.20
133,125,1.0,,526.30
134,127,1.0,,788.70
135,128,1.0,,"1,693.00"
136,115,1.0,,"1,552.29"
137,129,1.0,,"2,122.70"
139,131,1.0,,516.00
140,132,1.0,,"2,399.02"
141,133,1.0,,"1,110.00"
142,134,1.0,,873.26
143,135,1.0,,"1,109.45"
144,136,1.0,,1.70
145,137,1.0,,362.90
146,126,1.0,,"6,534.80"
147,138,1.0,,"4,000.00"
148,139,1.0,,"2,517.00"
149,140,1.0,,909.92
150,141,1.0,,"1,729.24"
151,142,1.0,,7.60
152,143,1.0,,22.90
153,144,1.0,,690.44
154,145,1.0,,"3,563.00"
155,146,1.0,,"1,362.40"
156,147,1.0,,965.81
158,149,1.0,,875.20
159,150,1.0,,9.70
160,152,1.0,,4.30
161,153,1.0,,9.70
162,155,1.0,,140.90
163,158,1.0,,726.30
164,159,1.0,,769.45
165,160,1.0,,993.49
166,165,1.0,,"3,527.05"
167,164,1.0,,13.20
168,154,1.0,,"1,518.00"
169,166,1.0,,100.60
170,167,1.0,,463.80
171,161,1.0,,739.60
172,168,1.0,,"1,823.61"
173,170,1.0,,116.40
174,171,1.0,,40.20
175,172,1.0,,49.90
176,173,1.0,,"1,300.81"
177,175,1.0,,"3,653.33"
178,176,1.0,,65.15
179,177,1.0,,2.20
180,178,1.0,,170.41
181,179,1.0,,"1,639.43"
182,180,1.0,,"1,160.50"
183,182,1.0,,206.00
184,183,1.0,,433.75
185,184,1.0,,13.40
186,185,1.0,,45.60
187,186,1.0,,148.44
188,187,1.0,,477.00
189,181,1.0,,"1,065.40"
190,189,1.0,,116.70
191,190,1.0,,"2,283.85"
192,191,1.0,,"2,150.40"
193,192,1.0,,318.70
194,193,1.0,,"2,487.77"
195,195,1.0,,143.20
196,194,1.0,,6.20
197,197,1.0,,"3,347.47"
198,196,1.0,,"6,516.35"
199,198,1.0,,528.75
200,199,1.0,,10.90
201,197,1.0,,652.53
202,201,1.0,,99.58
203,202,1.0,,913.54
204,203,1.0,,104.40
205,204,1.0,,"2,848.29"
206,202,1.0,,128.25
207,205,1.0,,9.79
208,206,1.0,,"5,765.63"
209,207,1.0,,"1,573.67"
210,193,1.0,,163.13
211,209,1.0,,193.00
212,210,1.0,,141.80
213,211,1.0,,"2,468.76"
214,212,1.0,,"1,227.00"
215,213,1.0,,168.45
216,214,1.0,,162.00
217,215,1.0,,935.00
218,216,1.0,,"3,104.75"
219,217,1.0,,84.60
220,218,1.0,,"2,310.23"
221,220,1.0,,"2,343.23"
222,221,1.0,,"3,144.80"
224,101,1.0,,88.90
225,222,1.0,,"1,518.81"
226,223,1.0,,"1,537.29"
227,224,1.0,,272.71
228,225,1.0,,512.50
229,226,1.0,,167.59
230,227,1.0,,727.27
231,228,1.0,,229.25
232,227,1.0,,64.24
233,230,1.0,,"1,801.00"
234,231,1.0,,"1,715.50"
235,235,1.0,,"5,898.00"
236,234,1.0,,267.87
