purchase_order_id,supplier_id,employee_id,shipping_method_id,order_date
25,1,1,3.0,
27,1,1,3.0,
28,1,1,3.0,
29,1,1,3.0,
30,1,1,3.0,
31,1,1,3.0,
32,1,1,3.0,
33,1,1,3.0,
34,1,1,3.0,
35,1,1,3.0,
36,1,3,3.0,
37,1,3,3.0,
38,1,3,3.0,
39,1,1,3.0,
41,1,6,3.0,
42,1,6,3.0,
44,1,6,3.0,
45,1,6,3.0,
46,1,6,2.0,
48,1,6,3.0,
49,1,6,3.0,
52,1,6,3.0,
53,1,6,3.0,
54,1,6,3.0,
55,1,6,2.0,
57,1,6,3.0,
59,1,2,3.0,
60,1,6,2.0,
61,1,6,3.0,
62,1,6,3.0,
65,1,6,2.0,
67,1,6,3.0,
68,1,6,3.0,
69,1,6,3.0,
73,1,6,3.0,
74,1,6,2.0,
75,1,6,3.0,
76,1,6,3.0,
79,1,6,2.0,
80,1,6,2.0,
81,1,6,2.0,
82,1,6,2.0,
83,1,6,2.0,
84,1,6,2.0,
86,1,6,2.0,
87,1,6,2.0,
88,1,6,2.0,
89,1,6,2.0,
90,1,6,2.0,
91,1,6,2.0,
92,1,6,2.0,
96,1,6,2.0,
97,1,6,2.0,
99,1,6,2.0,
100,1,6,2.0,
101,1,6,2.0,
102,1,6,2.0,
103,1,6,2.0,
104,1,6,2.0,
105,1,6,2.0,
106,1,6,2.0,
107,1,6,2.0,
108,1,6,2.0,
111,1,6,2.0,
112,1,6,2.0,
113,1,6,2.0,
115,1,6,2.0,
116,1,6,2.0,
117,1,6,2.0,
118,1,6,2.0,
119,1,6,2.0,
120,1,6,2.0,
121,1,6,2.0,
123,1,6,2.0,
126,1,6,2.0,
127,1,6,2.0,
128,1,6,2.0,
129,1,6,2.0,
130,1,6,2.0,
131,1,6,2.0,
133,1,6,2.0,
134,1,6,2.0,
135,1,6,2.0,
136,1,6,2.0,
137,1,6,2.0,
138,1,6,2.0,
140,1,6,2.0,
141,1,6,2.0,
142,1,6,2.0,
143,1,6,2.0,
144,1,6,2.0,
145,1,6,2.0,
146,1,6,2.0,
147,1,6,2.0,
148,1,6,2.0,
150,2,6,2.0,
151,1,6,2.0,
152,1,6,2.0,
153,1,6,2.0,
154,1,6,2.0,
155,1,6,2.0,
156,1,6,2.0,
157,2,6,2.0,
161,1,6,2.0,
162,1,6,2.0,
164,1,6,2.0,
166,1,6,2.0,
167,1,6,2.0,
168,1,6,2.0,
169,1,6,2.0,
170,1,6,2.0,
171,1,6,2.0,
172,1,6,2.0,
173,1,6,2.0,
174,1,6,1.0,
175,1,6,1.0,
176,1,6,2.0,
178,1,6,2.0,
179,1,6,2.0,
180,1,6,2.0,
183,1,6,2.0,
184,1,6,2.0,
185,1,6,2.0,
186,1,6,2.0,
187,2,6,2.0,
188,1,1,,
190,1,1,2.0,
191,1,1,,
192,1,6,2.0,
193,1,6,2.0,
194,1,6,2.0,
195,1,6,2.0,
196,1,6,2.0,
199,1,13,2.0,
200,1,13,2.0,
201,1,1,2.0,
202,1,1,2.0,
203,1,1,2.0,
204,1,1,2.0,
205,1,1,2.0,
206,1,1,2.0,
207,1,1,2.0,
208,1,1,2.0,
210,1,1,2.0,
211,1,1,2.0,
212,1,1,2.0,
213,1,1,2.0,
214,1,1,2.0,
215,1,1,2.0,
216,1,1,2.0,
217,1,1,2.0,
218,1,1,2.0,
219,1,1,2.0,
220,1,1,2.0,
221,1,1,2.0,
222,1,1,2.0,
226,1,1,,
227,1,1,2.0,
228,1,1,2.0,
229,1,1,2.0,
230,1,1,2.0,
231,1,1,2.0,
232,1,1,2.0,
233,1,1,2.0,
234,1,1,2.0,
235,1,1,2.0,
239,1,1,2.0,
240,1,1,2.0,
241,1,1,2.0,
242,1,1,2.0,
243,1,1,2.0,
244,1,1,2.0,
246,1,15,2.0,
247,1,15,2.0,
248,1,15,2.0,
249,1,15,2.0,
250,2,15,2.0,
251,1,1,2.0,
252,2,15,2.0,
253,1,15,2.0,
254,1,15,2.0,
255,1,15,2.0,
256,1,15,2.0,
257,1,15,2.0,
258,1,15,2.0,
259,1,15,2.0,
260,1,15,2.0,
261,1,15,2.0,
262,1,15,2.0,
263,1,15,2.0,
264,1,15,2.0,
265,1,15,2.0,
266,1,15,2.0,
269,1,1,2.0,
270,1,15,2.0,
271,1,15,2.0,
272,1,15,2.0,
273,1,15,2.0,
274,2,15,2.0,
279,1,15,2.0,
281,1,1,2.0,
282,2,1,3.0,
283,1,15,2.0,
284,1,15,2.0,
285,1,15,2.0,
286,1,15,2.0,
287,1,15,2.0,
288,1,15,2.0,
289,1,15,2.0,
290,1,15,2.0,
291,1,15,2.0,
292,1,15,2.0,
293,1,15,2.0,
294,1,15,,
298,1,15,2.0,
299,1,15,2.0,
300,1,15,2.0,
301,1,15,2.0,
302,1,15,2.0,
303,1,15,2.0,
304,1,15,2.0,
305,1,15,2.0,
306,1,15,,
307,1,15,2.0,
308,1,15,2.0,
309,1,15,2.0,
310,1,15,2.0,
311,1,15,2.0,
312,1,15,2.0,
313,1,15,2.0,
314,1,15,2.0,
315,1,1,2.0,
