col_value,cnt
Advertisement in National Wholesale Magazine,93
Sales Calls or Visits,56
Referral by the Central Office,50
Other,14
[NULL],4
Referral by Third Parties,3
Trade Shows,3
Advertisement in Regional Wholesaler Magazine,1
Organic Search,1
