col_value,cnt
Women's Panties,3024
Men's Briefs,412
Girls' Panties,258
Women's Undershirts,191
Girls' Undershirts,90
Men's Undershirts,78
Children's Socks,53
Boys' Briefs,44
Women's Socks,13
Men's Socks,12
Boys' Undershirts,6
Any,2
